0
 AU12_c
 AU04_c
 AU04_r
 AU12_r
 AU05_c
 AU14_c
 AU06_c
 AU06_r
 AU10_c
 p_2
 AU14_r
 p_8
 AU07_r
 AU10_r
 p_6
 p_0
 p_7
 AU09_r
 AU01_r
 p_23
 AU25_r
 p_10
 p_12
 AU17_r
 AU05_r
 p_11
 p_9
 p_5
 p_24
 AU26_r
 p_20
 AU45_r
 p_19
 AU02_r
 p_30
 AU15_c
 p_13
 AU15_r
 p_15
 p_25
 p_26
 p_32
 p_3
 p_18
 AU20_r
 AU23_r
 p_16
 p_21
 gaze_angle_y
 p_22
